ID;time;location;sensorType;sensorId;value
113;1527756648515                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;74.0
114;1527756681966                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;75.0
115;1527756683062                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;75.0
116;1527756694283                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;75.0
117;1527756725693                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;76.0
118;1527756757525                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;76.0
119;1527756759859                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;77.0
120;1527756793335                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;78.0
121;1527756822254                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;78.0
122;1527756827354                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;79.0
123;1527756868666                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;80.0
124;1527756885654                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;80.0
125;1527756918132                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;81.0
126;1527756949900                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;81.0
127;1527756956006                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;82.0
128;1527757001750                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;83.0
129;1527757014142                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;83.0
130;1527757035095                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;84.0
131;1527757078383                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;84.0
132;1527757119926                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;85.0
133;1527757139824                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;85.0
134;1527757140835                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;85.0
135;1527757150704                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;86.0
136;1527757140145                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;87.0
137;1527757155404                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;87.0
138;1527757169980                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;88.0
139;1527757198839                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;89.0
140;1527757199768                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;89.0
141;1527757209565                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;89.0
142;1527757227204                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;90.0
143;1527757255767                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;91.0
144;1527757256686                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;91.0
145;1527757263214                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;91.0
146;1527757284466                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;92.0
147;1527757316114                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;93.0
